Client_id,company_name,adress,country,segment
1,Dynamic Dynamics,0487 Hull Village Suite 759,Bulgaria,medium
2,Zenith Dynamics,242 Christine Glen,Serbia,medium
3,Infinity Corp,1157 Michael Island,"Bonaire, Sint Eustatius and Saba",medium
4,Global Holdings,778 Brown Plaza,Cambodia,small
5,Mega Trucks,60975 Jessica Squares,Gibraltar,medium
6,Ultra Automotive,93328 Davis Island,Eswatini,big
7,Elite Industries,48418 Olsen Plains Apt. 989,South Africa,small
8,Super Fleet,1965 Kelly Field Apt. 094,Bermuda,small
9,Nova Machines,12201 Massey Pine Suite 833,Fiji,big
10,Advanced Transport,477 Miller Ridge Apt. 795,Cameroon,big
11,Precision Engineering,04135 Marvin Via,South Sudan,small
12,Ultra Developments,23098 Anthony Roads,Madagascar,big
13,Mega Dynamics,916 Mitchell Crescent,Bermuda,medium
14,Dynamic Vehicles,032 Timothy Stream,Maldives,medium
15,Iron Corp,086 Mary Cliff,United States,medium
16,Rapid Autoworks,45620 Williams Courts,Uzbekistan,big
17,Auto Enterprises,45792 Tammy Centers Apt. 258,Congo,medium
18,Global Enterprises,97207 Mccullough Well Suite 564,Western Sahara,small
19,Fusion Tech,071 Stevenson Plains,Bermuda,small
20,Power Systems,37594 Garza Roads Apt. 466,Nauru,big
21,Revolution Dynamics,93523 Dana Lane,Kyrgyzstan,small
22,Ultra Transport,69602 Brown Squares Apt. 787,United Arab Emirates,small
23,Elite Innovations,75470 Lopez Roads,Kenya,big
24,Future Manufacturing,206 Stewart Forest,Libya,small
25,Mega Machines,089 James Rest,Sao Tome and Principe,big
26,Global Mechanics,4217 Burton Brooks,Solomon Islands,small
27,Titan Innovations,1428 Wilson Drives Suite 000,Nicaragua,medium
28,Auto Performance,485 Mays Vista,Ethiopia,big
29,Elite Technologies,977 Watson Plain,Cocos (Keeling) Islands,small
30,Zenith Corp,69402 Joseph Junction,Saint Pierre and Miquelon,small
31,Titan Industries,159 Blake Estates Apt. 945,Belgium,big
32,Zenith Systems,241 Cross Causeway Suite 281,Holy See (Vatican City State),medium
